	ALE Value
NPM1.rescaled	4.8047903e-09
RNF223.rescaled	4.8039746e-09
CATSPER3.rescaled	4.800825e-09
PABPC1.rescaled	4.7985607e-09
FOXI1.rescaled	4.7983018e-09
FABP4.rescaled	4.7919704e-09
PRPF4B.rescaled	4.785042e-09
LRRC10B.rescaled	4.777832e-09
LPAR3.rescaled	4.7694413e-09
GPR89B.rescaled	4.766174e-09
MAD2L1BP.rescaled	4.7658624e-09
PFKP.rescaled	4.7646105e-09
NENF.rescaled	4.764191e-09
C19orf48.rescaled	4.7580384e-09
OAS3.rescaled	4.7572772e-09
OR2A7.rescaled	4.752844e-09
PCLO.rescaled	4.752193e-09
ARV1.rescaled	4.7507314e-09
PROK2.rescaled	4.749288e-09
PRRT3.rescaled	4.74151e-09
EYA1.rescaled	4.738074e-09
SLC4A4.rescaled	4.735559e-09
FCGR3A.rescaled	4.7353557e-09
PCDHA7.rescaled	4.7299427e-09
NAA38.rescaled	4.718017e-09
HAPLN1.rescaled	4.7130237e-09
PCDHA8.rescaled	4.7093662e-09
PPP1R36.rescaled	4.7055657e-09
SOX2.rescaled	4.7047086e-09
BDP1.rescaled	4.7044404e-09
TRPV6.rescaled	4.7042112e-09
DNMT3B.rescaled	4.686531e-09
GPR173.rescaled	4.6832804e-09
CCL19.rescaled	4.6791504e-09
E2F2.rescaled	4.6732977e-09
H6PD.rescaled	4.66863e-09
TAS2R3.rescaled	4.667396e-09
TUBA3D.rescaled	4.6664326e-09
ABCA4.rescaled	4.665529e-09
C1orf174.rescaled	4.664222e-09
FBXO43.rescaled	4.6517545e-09
OXT.rescaled	4.6500928e-09
TRAF5.rescaled	4.6480597e-09
ZBTB4.rescaled	4.6466835e-09
EARS2.rescaled	4.641943e-09
TCEAL2.rescaled	4.641312e-09
COMMD1.rescaled	4.637393e-09
HINT1.rescaled	4.6222626e-09
RNF187.rescaled	4.606325e-09
KRT16.rescaled	4.597203e-09
HMGB2.rescaled	4.5949746e-09
TCEAL5.rescaled	4.5858806e-09
RBP4.rescaled	4.570613e-09
RBM44.rescaled	4.56784e-09
RNPEP.rescaled	4.56612e-09
SLC9A2.rescaled	4.5617248e-09
ABCB7.rescaled	4.555716e-09
SIRPB2.rescaled	4.553809e-09
TUBA1B.rescaled	4.5526214e-09
RNASET2.rescaled	4.532068e-09
GATA1.rescaled	4.5312896e-09
TOR3A.rescaled	4.530822e-09
DENND1B.rescaled	4.5208357e-09
DHDDS.rescaled	4.520201e-09
NR6A1.rescaled	4.5198716e-09
LRFN1.rescaled	4.5066613e-09
ABAT.rescaled	4.5059845e-09
NHLRC3.rescaled	4.4966324e-09
TBX20.rescaled	4.49503e-09
SNX33.rescaled	4.4950257e-09
PP2D1.rescaled	4.4786344e-09
SPTBN5.rescaled	4.4658974e-09
ZNF114.rescaled	4.4560426e-09
CEP72.rescaled	4.4544546e-09
MMP23B.rescaled	4.4456216e-09
ALG5.rescaled	4.44237e-09
GPR34.rescaled	4.434689e-09
FCGR2A.rescaled	4.434238e-09
RIBC2.rescaled	4.42056e-09
OAF.rescaled	4.412192e-09
GRHL3.rescaled	4.4110684e-09
CST5.rescaled	4.4109365e-09
FAM72D.rescaled	4.410919e-09
NDRG3.rescaled	4.4038635e-09
PSMG4.rescaled	4.4032284e-09
HAS1.rescaled	4.3984962e-09
CYBB.rescaled	4.38835e-09
SDCCAG8.rescaled	4.3861106e-09
KPNA2.rescaled	4.3833746e-09
POLA1.rescaled	4.3813384e-09
SRSF12.rescaled	4.374197e-09
KCNS2.rescaled	4.3728674e-09
PIPOX.rescaled	4.3727297e-09
TUBB4A.rescaled	4.372005e-09
SLC25A5.rescaled	4.3715964e-09
C3AR1.rescaled	4.36924e-09
NDUFC2.rescaled	4.3621964e-09
KCNIP2.rescaled	4.359816e-09
YPEL3.rescaled	4.3577875e-09
POLE.rescaled	4.3546833e-09
TMPRSS11E.rescaled	4.3485366e-09
KCNG1.rescaled	4.343412e-09
FAM72A.rescaled	4.3423256e-09
SRF.rescaled	4.339827e-09
EFCAB6.rescaled	4.323284e-09
S100A12.rescaled	4.321075e-09
ZDHHC18.rescaled	4.3137267e-09
PPP1R3C.rescaled	4.3091477e-09
MRPS14.rescaled	4.3079273e-09
GP5.rescaled	4.30432e-09
SORBS2.rescaled	4.293352e-09
PRG4.rescaled	4.2907953e-09
PDZK1.rescaled	4.288576e-09
SNAP47.rescaled	4.284532e-09
LAMA5.rescaled	4.279775e-09
NDUFB11.rescaled	4.257748e-09
SLC12A5.rescaled	4.2574855e-09
CCDC7.rescaled	4.2569557e-09
SYNC.rescaled	4.2541233e-09
KCNH2.rescaled	4.2503268e-09
MYB.rescaled	4.2484256e-09
POLR3E.rescaled	4.2405603e-09
FRMPD1.rescaled	4.236946e-09
ANKRD30B.rescaled	4.2354515e-09
CCL2.rescaled	4.2298653e-09
TGM5.rescaled	4.220603e-09
